thread#,description,red,green,blue,row
3051,Green Gray Dk,95,102,72,row 11-22
966,Jade Ultra Vy Lt,185,215,192,row 09-12
564,Jade Very Light,167,205,175,row 09-13
563,Jade Light,143,192,152,row 09-14
562,Jade Medium,83,151,106,row 09-15
505,Jade Green,51,131,98,row 09-16
211,Lavender Light,227,203,227,row 05-01
210,Lavender Medium,195,159,195,row 05-02
209,Lavender Dark,163,123,167,row 05-03
208,Lavender Very Dark,131,91,139,row 05-04
3837,Lavender Ultra Dark,108,58,110,row 05-05
445,Lemon Light,255,251,139,row 14-01
307,Lemon,253,237,84,row 14-02
444,Lemon Dark,255,214,0,row 14-04
3856,Mahogany Ult Vy Lt,255,211,181,row 15-02
